Title,Price,Date,Variant
        Apple iPhone 13 (256GB) - (Product) RED       ,"₹79,999",2022-06-13,"Capacity   256 GB    
 "
        Apple iPhone 13 (256GB) - (Product) RED       ,"₹79,999",2022-06-13,"Capacity   256 GB    
 "
